     0     0 7.0749e+09    0 22774 7.1523e+09 7.0749e+09  1.08%     -   26s
     0     0 7.0777e+09    0 22424 7.1523e+09 7.0777e+09  1.04%     -   44s
H    0     0                    7.151697e+09 7.0777e+09  1.03%     -   83s
     0     0 7.0810e+09    0 22002 7.1517e+09 7.0810e+09  0.99%     -   87s
     0     0 7.0886e+09    0 20867 7.1517e+09 7.0886e+09  0.88%     -   92s
     0     0 7.1054e+09    0 16789 7.1517e+09 7.1054e+09  0.65%     -   96s
     0     0 7.1097e+09    0 17025 7.1517e+09 7.1097e+09  0.59%     -  101s
     0     0 7.1135e+09    0 17156 7.1517e+09 7.1135e+09  0.53%     -  106s
     0     0 7.1148e+09    0 16681 7.1517e+09 7.1148e+09  0.52%     -  111s
     0     0 7.1148e+09    0 16853 7.1517e+09 7.1148e+09  0.52%     -  115s
     0     0 7.1148e+09    0 18041 7.1517e+09 7.1148e+09  0.52%     -  120s
     0     0 7.1149e+09    0 19456 7.1517e+09 7.1149e+09  0.51%     -  124s
     0     0 7.1152e+09    0 21216 7.1517e+09 7.1152e+09  0.51%     -  129s
     0     0 7.1169e+09    0 23426 7.1517e+09 7.1169e+09  0.49%     -  133s
     0     0 7.1184e+09    0 24772 7.1517e+09 7.1184e+09  0.47%     -  140s
     0     0 7.1197e+09    0 26671 7.1517e+09 7.1197e+09  0.45%     -  148s
     0     0 7.1197e+09    0 26913 7.1517e+09 7.1197e+09  0.45%     -  154s
     0     0 7.1197e+09    0 26954 7.1517e+09 7.1197e+09  0.45%     -  161s
     0     0 7.1197e+09    0 26986 7.1517e+09 7.1197e+09  0.45%     -  165s
     0     0 7.1197e+09    0 27016 7.1517e+09 7.1197e+09  0.45%     -  168s
     0     0 7.1197e+09    0 27266 7.1517e+09 7.1197e+09  0.45%     -  188s
     0     0 7.1197e+09    0 28578 7.1517e+09 7.1197e+09  0.45%     -  213s
     0     0 7.1199e+09    0 30025 7.1517e+09 7.1199e+09  0.44%     -  222s
     0     0 7.1199e+09    0 29632 7.1517e+09 7.1199e+09  0.44%     -  229s
     0     0 7.1199e+09    0 30666 7.1517e+09 7.1199e+09  0.44%     -  236s
     0     0 7.1200e+09    0 32312 7.1517e+09 7.1200e+09  0.44%     -  241s
     0     0 7.1200e+09    0 32656 7.1517e+09 7.1200e+09  0.44%     -  267s
     0     0 7.1200e+09    0 32321 7.1517e+09 7.1200e+09  0.44%     -  280s
     0     0 7.1200e+09    0 32388 7.1517e+09 7.1200e+09  0.44%     -  307s
     0     0 7.1200e+09    0 32378 7.1517e+09 7.1200e+09  0.44%     -  325s
     0     2 7.1200e+09    0 32378 7.1517e+09 7.1200e+09  0.44%     -  685s
     1     4 7.1207e+09    1 32150 7.1517e+09 7.1201e+09  0.44%  7664  697s
     3     6 7.1208e+09    2 32151 7.1517e+09 7.1202e+09  0.44%  2978  707s
     5     8 7.1215e+09    3 31850 7.1517e+09 7.1202e+09  0.44%  2968  733s
     7    10 7.1209e+09    3 32143 7.1517e+09 7.1203e+09  0.44%  2310  753s
     9    12 7.1216e+09    4 31805 7.1517e+09 7.1203e+09  0.44%  2526  772s
    11    16 7.1210e+09    4 32141 7.1517e+09 7.1204e+09  0.44%  2069  775s
    15    19 7.1217e+09    5 31776 7.1517e+09 7.1206e+09  0.43%  1726  798s
    18    27 7.1217e+09    6 31558 7.1517e+09 7.1206e+09  0.43%  1642  825s
    26    40 7.1212e+09    6 32178 7.1517e+09 7.1206e+09  0.43%  1162  870s
    39    71 7.1216e+09    9 32175 7.1517e+09 7.1206e+09  0.43%   894  930s
    70   105 7.1216e+09   18 32061 7.1517e+09 7.1206e+09  0.43%   565 1031s
   104   142 7.1216e+09   26 31988 7.1517e+09 7.1206e+09  0.43%   444 1155s
   141   177 7.1216e+09   36 31944 7.1517e+09 7.1206e+09  0.43%   383 1271s
   176   211 7.1224e+09   43 31427 7.1517e+09 7.1206e+09  0.43%   375 1416s
   210   255 7.1220e+09   50 31538 7.1517e+09 7.1206e+09  0.43%   391 1479s
   254   299 7.1220e+09   61 31299 7.1517e+09 7.1206e+09  0.43%   339 1526s
   298   343 7.1220e+09   72 31045 7.1517e+09 7.1206e+09  0.43%   305 1591s
   342   387 7.1220e+09   83 30913 7.1517e+09 7.1206e+09  0.43%   277 1663s
   386   431 7.1220e+09   94 30683 7.1517e+09 7.1206e+09  0.43%   253 1742s
   430   475 7.1220e+09  105 30418 7.1517e+09 7.1206e+09  0.43%   235 1786s
   474   519 7.1220e+09  116 30165 7.1517e+09 7.1206e+09  0.43%   221 1844s
   518   563 7.1220e+09  127 29899 7.1517e+09 7.1206e+09  0.43%   210 1889s
   562   607 7.1220e+09  138 29660 7.1517e+09 7.1206e+09  0.43%   202 1939s
